date,site_id,line,direction,point,top_layer,code_1,code_2,code_3,soil_surface
8/26/2020,OGBA-01,1,0,1,POMO,LITTER,,,S
8/26/2020,OGBA-01,1,0,2,PUNU,SARU,,,S
8/26/2020,OGBA-01,1,0,3,HOJU,DISP,,,S
8/26/2020,OGBA-01,1,0,4,PUNU,DISP,,,S
8/26/2020,OGBA-01,1,0,5,HOJU,DISP,,,S
8/26/2020,OGBA-01,1,0,6,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,7,DISP,,,,S
8/26/2020,OGBA-01,1,0,8,NONE,LITTER,,,S
8/26/2020,OGBA-01,1,0,9,DISP,,,,S
8/26/2020,OGBA-01,1,0,10,NONE,,,,S
8/26/2020,OGBA-01,1,0,11,NONE,LITTER,,,S
8/26/2020,OGBA-01,1,0,12,DISP,,,,S
8/26/2020,OGBA-01,1,0,13,NONE,LITTER,,,S
8/26/2020,OGBA-01,1,0,14,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,15,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,16,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,17,NONE,LITTER,,,S
8/26/2020,OGBA-01,1,0,18,NONE,,,,S
8/26/2020,OGBA-01,1,0,19,DISP,,,,S
8/26/2020,OGBA-01,1,0,20,NONE,,,,S
8/26/2020,OGBA-01,1,0,21,NONE,,,,S
8/26/2020,OGBA-01,1,0,22,NONE,,,,S
8/26/2020,OGBA-01,1,0,23,SARU,,,,S
8/26/2020,OGBA-01,1,0,24,NONE,,,,S
8/26/2020,OGBA-01,1,0,25,SARU,,,,S
8/26/2020,OGBA-01,1,0,26,NONE,,,,S
8/26/2020,OGBA-01,1,0,27,DISP,,,,S
8/26/2020,OGBA-01,1,0,28,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,29,DISP,,,,S
8/26/2020,OGBA-01,1,0,30,DISP,,,,S
8/26/2020,OGBA-01,1,0,31,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,31,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,33,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,34,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,35,DISP,LITTER,,,S
8/26/2020,OGBA-01,1,0,36,PUNU,,,,S
8/26/2020,OGBA-01,1,0,37,NONE,,,,S
8/26/2020,OGBA-01,1,0,38,NONE,,,,S
8/26/2020,OGBA-01,1,0,39,SARU,,,,S
8/26/2020,OGBA-01,1,0,40,SARU,,,,S
8/26/2020,OGBA-01,1,0,41,NONE,,,,S
8/26/2020,OGBA-01,1,0,42,SARU,,,,S
8/26/2020,OGBA-01,1,0,43,SARU,,,,S
8/26/2020,OGBA-01,1,0,44,NONE,,,,S
8/26/2020,OGBA-01,1,0,45,NONE,,,,S
8/26/2020,OGBA-01,1,0,46,SARU,,,,S
8/26/2020,OGBA-01,1,0,47,SARU,,,,S
8/26/2020,OGBA-01,1,0,48,SARU,,,,S
8/26/2020,OGBA-01,1,0,49,NONE,,,,S
8/26/2020,OGBA-01,1,0,50,NONE,,,,S
8/26/2020,OGBA-01,2,120,1,PHRAG,HOJU,LITTER,,S
8/26/2020,OGBA-01,2,120,2,PHRAG,DISP,LITTER,,S
8/26/2020,OGBA-01,2,120,3,DISP,LITTER,,,S
8/26/2020,OGBA-01,2,120,4,DISP,LITTER,,,S
8/26/2020,OGBA-01,2,120,5,DISP,LITTER,,,S
8/26/2020,OGBA-01,2,120,6,NONE,LITTER,,,S
8/26/2020,OGBA-01,2,120,7,PHRAG,,,,S
8/26/2020,OGBA-01,2,120,8,NONE,LITTER,,,S
8/26/2020,OGBA-01,2,120,9,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,10,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,11,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,12,PHRAG,HOJU,LITTER,,S
8/26/2020,OGBA-01,2,120,13,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,14,HOJU,PHRAG,LITTER,,S
8/26/2020,OGBA-01,2,120,15,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,16,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,17,PHRAG,HOJU,LITTER,,S
8/26/2020,OGBA-01,2,120,18,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,19,POMO,LITTER,,,S
8/26/2020,OGBA-01,2,120,20,PHRAG,POMO,LITTER,,S
8/26/2020,OGBA-01,2,120,21,NONE,LITTER,,,S
8/26/2020,OGBA-01,2,120,22,HOJU,LITTER,,,S
8/26/2020,OGBA-01,2,120,23,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,24,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,25,HOJU,POMO,LITTER,,S
8/26/2020,OGBA-01,2,120,26,HOJU,LITTER,,,S
8/26/2020,OGBA-01,2,120,27,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,28,HOJU,PHRAG,LITTER,,S
8/26/2020,OGBA-01,2,120,29,NONE,LITTER,,,S
8/26/2020,OGBA-01,2,120,30,HOJU,LITTER,,,S
8/26/2020,OGBA-01,2,120,31,PHRAG,POMO,LITTER,,S
8/26/2020,OGBA-01,2,120,32,PHRAG,HOJU,LITTER,,S
8/26/2020,OGBA-01,2,120,33,HOJU,LITTER,,,S
8/26/2020,OGBA-01,2,120,34,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,35,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,36,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,37,PHRAG,LITTER,,,S
8/26/2020,OGBA-01,2,120,38,PHRAG,HOJU,,,S
8/26/2020,OGBA-01,2,120,39,HOJU,,,,S
