site,direction,meter_start,meter_end,profilometer_width_cm,pin_profile_length_cm,max_pin_height_cm,min_pin_height_cm,notes
BR-01,T1,9,10,93.327,100.263,19.582,15.782,No ruler
BR-01,T1,14,15,93.874,104.551,19.575,14.571,
BR-01,T1,19,20,91.753,100.17,16.455,13.382,
BR-01,T1,24,25,96.211,102.084,19.421,16.278,
BR-01,T1,29,30,,,,,no 29-30 photo
BR-01,T2,9,10,93.981,114.001,19.538,13.086,
BR-01,T2,14,15,92.236,101.278,18.164,14.187,
BR-01,T2,19,20,93.932,107.725,18.282,13.516,
BR-01,T2,24,25,92.33,105.596,21.555,15.729,
BR-01,T2,29,30,,,,,no 29-30 photo
BR-01,T3,9,10,91.468,101.714,16.922,13.699,
BR-01,T3,14,15,90.378,96.385,14.695,96.385,
BR-01,T3,15,20,95.669,101.361,16.373,13.419,
BR-01,T3,24,25,97.457,102.923,16.817,13.64,
BR-01,T3,29,30,,,,,no 29-30 photo
BR-02,T1,9,10,95.204,123.742,24.645,18.973,
BR-02,T1,14,15,96.105,118.927,25.091,19.099,
BR-02,T1,19,20,94.505,117.946,22.15,18.131,
BR-02,T1,24,25,93.312,102.146,24.148,19.408,
BR-02,T1,29,30,94.694,111.98,25.42,16.94,
BR-02,T2,9,10,95.558,105.811,25.091,21.235,
BR-02,T2,14,15,88.77,95.934,22.546,19.315,
BR-02,T2,19,20,92.933,99.208,24.069,19.452,
BR-02,T2,24,25,91.663,99.648,22.849,20.372,
BR-02,T2,29,30,91.026,99.902,23.122,17.63,
BR-02,T3,9,10,93.309,138.064,23.646,16.838,
BR-02,T3,14,15,93.956,119.002,24.132,18.473,
BR-02,T3,19,20,96.463,115.145,24.008,17.805,
BR-02,T3,24,25,94.573,110.952,24.619,19.336,
BR-02,T3,29,30,91.636,105.675,23.039,19.069,
BR-03,T1,9,10,92.157,101.997,24.904,19.634,
BR-03,T1,14,15,92.975,113.652,25.34,17.759,
BR-03,T1,19,20,95.078,110.169,24.135,18.36,
BR-03,T1,24,25,94.283,112.588,24.715,19.229,
BR-03,T1,29,30,92.3,105.218,24.849,21.181,
BR-03,T2,9,10,88.656,99.007,21.888,18.08,
BR-03,T2,14,15,89.004,109.996,22.978,18.424,
BR-03,T2,19,20,94.775,119.842,25.151,12.276,
BR-03,T2,24,25,96.902,117.683,26.349,21.117,
BR-03,T2,29,30,93.933,109.895,25.204,19.579,
BR-03,T3,9,10,93.912,108.854,22.712,17.588,
BR-03,T3,14,15,95.462,104.219,25.68,19.793,
BR-03,T3,19,20,93.877,102.018,25.705,21.949,
BR-03,T3,24,25,94.736,101.459,24.251,20.814,
BR-03,T3,29,30,94.682,107.129,23.257,19.707,
OGBA-01,T1,9,10,94.217,105.321,23.43,19.108,
OGBA-01,T1,14,15,94.708,106.889,22.691,19.421,
OGBA-01,T1,19,20,94.971,122.24,24.16,16.59,
OGBA-01,T1,24,25,99.084,117.433,24.226,19.301,
OGBA-01,T1,29,30,95.023,125.431,24.273,16.902,
OGBA-01,T2,9,10,93.435,121.67,25.01,9.622,
OGBA-01,T2,14,15,100.627,129.249,27.275,14.951,
OGBA-01,T2,19,20,96.646,119.459,27.124,14.342,
OGBA-01,T2,24,25,96.319,112.689,25.303,21.27,
OGBA-01,T2,29,30,96.494,115.927,26.438,15.782,
OGBA-01,T3,9,10,93.738,107.932,22.806,16.913,
OGBA-01,T3,14,15,93.713,105.661,25.209,17.754,
OGBA-01,T3,19,20,93.183,113.488,25.541,19.183,
OGBA-01,T3,24,25,94.56,105.334,24.834,19.566,
OGBA-01,T3,29,30,93.714,129.432,22.901,8.017,
HS-02,T1,9,10,96.437,121.117,25.375,17.268,
HS-02,T1,14,15,88.561,115.909,25.18,14.611,
HS-02,T1,19,20,94.004,122.933,23.493,15.623,
HS-02,T1,24,25,89.816,125.947,21.932,16.671,
HS-02,T1,29,30,96.527,114.112,23.366,19.603,
HS-02,T2,9,10,96.284,131.684,25.178,18.221,
HS-02,T2,14,15,95.084,111.717,22.95,18.582,
HS-02,T2,19,20,96.5,110.619,23.853,14.428,
HS-02,T2,24,25,95.504,106.347,21.897,19.519,
HS-02,T2,29,30,90.669,103.373,22.619,17.497,
HS-02,T3,9,10,93.742,123.304,20.941,15.947,
HS-02,T3,14,15,95.115,116.827,25.869,19.712,
HS-02,T3,19,20,98.376,110.865,24.918,20.432,
HS-02,T3,24,25,95.334,118.914,23.589,17.721,
HS-02,T3,29,30,95.353,118.768,26.712,18.657,
