plant_code,plant_id,family,native ,other_code,description
POMO,Polypogon monspeliensis,Poaceae,N,LITTER,"decomposing, detached plant material"
PUNU,Puccinelia nuttaliana ,Poaceae,Y,S,soil 
HOJU,Hordeum jubatum ,Poaceae,Y,AD,animal duff (generally a cow patty) 
DISP,Distichlis spicata  ,Poaceae,Y,,
SARU,Salicornia rubra ,Chenopiaceae,Y,,
PHRAG,Phragmites australis,Poaceae,N,,
ATRIPLEX,Atriplex spp. ,Chenopiaceae,Y,,
TYPHA,Typha spp. ,Typhaceae,Y,,
SCAC,Schoenoplectus acutus ,Cyperaceae,Y,,
SCAM,Schoenoplectus americanus ,Cyperaceae,Y,,
SPMA,Spergularia maritima,Caryophyllaceae,N,,
SUCA,Suaeda calceoliformis,Chenopiaceae,N,,
POPE,Polygonum persicaria,Polygonaceae,N,,
MUAS,Mulenberghia asperifolia ,Poaceae,Y,,
CAPR,Carex praegicilis,Cyperaceae,Y,,
AMAR,Ambrosia artemiisifolia,Asteraceae,Y,,
EPCI,Epilobium ciliatum ,Onagraceae,Y,,
JUAR,Juncus arcticus ,Juncaceae,Y,,
SCPU,Schoenoplectus pungens ,Cyperaceae,Y,,
THIN,Thinopyrum intermedium ,Poaceae,N,,
RUMA,Rumex maritimus ,Polygonaceae,Y,,
AP Z,?????,,,,
BOMA,Bolboschoenus maritimus ,Cyperaceae,Y,,
VEAN-AQ,Veronica anagaLlis-aquatica,Scrophulariaceae,Y,,
EUOC,Euthamia occidentalis,Asteraceae,Y,,
LELA,Lepidium latifolium ,Brassicaceae,N,,
RUST,Rumex stenophyllus,Polygonaceae,N,,
ELPA,Eleocharis palustris ,Cyperaceae,Y,,
TRFR,Trifolium fragiferum ,Fabaceae,N,,
BAHY ,Bassia hyssopifolia,Chenopiaceae,N,,
